#PASSAGE	REFQ	GENQ	FLUENCY	RELEVANT	ANSWERABLE	SIMILAR
of particular concern with internet pharmacies is the ease with which people , youth in particular , can obtain controlled substances ( e.g. , vicodin , generically known as hydrocodone ) via the internet without a prescription issued by a doctor/practitioner who has an established doctor-patient relationship . there are many instances where a practitioner issues a prescription , brokered by an internet server , for a controlled substance to a " patient " s/he has never met . [ citation needed ] in the united states , in order for a prescription for a controlled substance to be valid , it must be issued for a legitimate medical purpose by a licensed practitioner acting in the course of legitimate doctor-patient relationship . the filling pharmacy has a corresponding responsibility to ensure that the prescription is valid . often ,  individual state laws   outline what defines a valid patient-doctor relationship .	who defines what constitutes a patient-doctor relationship ?	what is it important to note that is changing laws regarding internet pharmacies?	0.5	0.6666666666666666	0.6666666666666666	0.16666666666666666
in the centre of basel , the first major city in the course of the stream , is located the " rhine knee " ; this is a major bend , where the overall direction of the rhine changes from west to north . here the  high rhine   ends . legally , the central bridge is the boundary between high and upper rhine . the river now flows north as upper rhine through the upper rhine plain , which is about 300 km long and up to 40 km wide . the most important tributaries in this area are the ill below of strasbourg , the neckar in mannheim and the main across from mainz . in mainz , the rhine leaves the upper rhine valley and flows through the mainz basin .	what ends at this bend in the rhine ?	where does the central bridge end?	1.0	0.6666666666666666	0.6666666666666666	0.16666666666666666
it is usually recognized that lawbreaking , if it is not done publicly , at least must be publicly announced in order to constitute civil disobedience . but stephen eilmann argues that if it is necessary to disobey rules that conflict with morality , we might ask why disobedience should take the form of public civil disobedience rather than simply covert lawbreaking . if a lawyer wishes to help a client overcome legal obstacles to securing her or his natural rights , he might , for instance , find that assisting in fabricating evidence or committing perjury is more effective than open disobedience . this assumes that common morality does not have a prohibition on deceit in such situations . the fully informed jury association 's publication " a primer for prospective jurors " notes , " think of the dilemma faced by german citizens when hitler 's secret police demanded to know if they were hiding a jew in their house . " by this definition , civil disobedience could be traced back to the book of exodus , where shiphrah and puah refused a direct order of pharaoh but misrepresented how they did it .  ( exodus 1 : 15-19 )	stephen eildmann cites the oldest known example of civil disobedience in what part of the bible ?	what biblical passage provides a biblical example of when a lawyer should help a client overcome	0.5	1.0	1.0	0.5
with international criminal court trial dates in 2013 for both president kenyatta and deputy president william ruto related to the 2007 election aftermath ,  us president barack obama   chose not to visit the country during his mid-2013 african trip . later in the summer , kenyatta visited china at the invitation of president xi jinping after a stop in russia and not having visited the united states as president . in july 2015 obama visited kenya , as the first american president to visit the country while in office .	who decided not to come visit the country in 2013 ?	who did not visit kenya during the mid-2013 african trip?	1.0	1.0	1.0	0.6666666666666666
in may 2013 , abc launched "  watch abc   " , a revamp of its traditional multi-platform streaming services encompassing the network 's existing streaming portal at abc.com and a mobile app for smartphones and tablet computers ; in addition to providing full-length episodes of abc programs , the service allows live programming streams of local abc affiliates in select markets ( the first such offering by a u.s. broadcast network ) . similar to sister network espn 's watchespn service ( which originated the " watch " brand used by the streaming services of disney 's television networks ) , live streams of abc stations are only available to authenticated subscribers of participating pay television providers in certain markets . new york city o & o wabc-tv and philadelphia o & o wpvi-tv were the first stations to offer streams of their programming on the service ( with a free preview for non-subscribers through june 2013 ) , with the six remaining abc o & os offering streams by the start of the 2013–14 season . hearst television also reached a deal to offer streams of its abc affiliates ( including stations in boston , kansas city , milwaukee and west palm beach ) on the service .	what service did abc launch in may 2013 ?	what was the name of abc's revamped streaming service in 2013?	1.0	1.0	1.0	0.8333333333333334
a constitutional change was considered that would  eliminate the position of prime minister and simultaneously reduce the powers of the president   . a referendum to vote on the proposed constitution was held on 4 august 2010 , and the new constitution passed by a wide margin . among other things , the new constitution delegates more power to local governments and gives kenyans a bill of rights . it was promulgated on 27 august 2010 at a euphoric ceremony in nairobi 's uhuru park , accompanied by a 21-gun salute . the event was attended by various african leaders and praised by the international community . as of that day , the new constitution heralding the second republic came into force .	what constitutional change was considered ?	what would a constitutional change do in kenya?	1.0	1.0	1.0	0.3333333333333333
one of the rarest items in the collection is the 58 cm high gloucester candlestick , dated to c1110 , made from gilt bronze ; with highly elaborate and intricate intertwining branches containing small figures and inscriptions , it is a tour de force of bronze casting . also of importance is the becket casket dated c1180 to contain relics of st thomas becket , made from  gilt copper   , with enamelled scenes of the saint 's martyrdom . another highlight is the 1351 reichenau crozier . the burghley nef , a salt-cellar , french , dated 1527–28 , uses a nautilus shell to form the hull of a vessel , which rests on the tail of a parcelgilt mermaid , who rests on a hexagonal gilt plinth on six claw-and-ball feet . both masts have main and top-sails , and battlemented fighting-tops are made from gold . these items are displayed in the new medieval & renaissance galleries .	which material is the becket casket made from ?	what metal was the becket casket made from?	1.0	1.0	1.0	1.0
in the fall of 1949 , abc found itself in the position of an outsider , with less coverage than two of its competing networks , cbs and nbc , even though it was on par with them in some major cities and had a headstart over its third rival at the time , the  dumont television network   . before the freeze ended in 1952 , there were only 108 existing television stations in the united states ; a few major cities ( such as boston ) had only two television stations , many other cities ( such as pittsburgh and st. louis ) had only one , and still many others ( such as denver and portland ) did not yet have any television service . the result was a strange period where television flourished in certain areas and network radio remained the main source of broadcast entertainment and news in others .	who was abc 's third major rival in 1949 ?	what was abc's third rival in 1949?	1.0	1.0	1.0	0.8333333333333334
plants have  two   main immune responses—the hypersensitive response , in which infected cells seal themselves off and undergo programmed cell death , and systemic acquired resistance , where infected cells release signals warning the rest of the plant of a pathogen 's presence . chloroplasts stimulate both responses by purposely damaging their photosynthetic system , producing reactive oxygen species . high levels of reactive oxygen species will cause the hypersensitive response . the reactive oxygen species also directly kill any pathogens within the cell . lower levels of reactive oxygen species initiate systemic acquired resistance , triggering defense-molecule production in the rest of the plant .	how many major immune responses do plants have ?	how many main immune responses do plants have?	1.0	1.0	1.0	1.0
following the peterloo massacre of 1819 , poet percy shelley wrote the political poem the mask of anarchy later that year , that begins with the images of what he thought to be the unjust forms of authority of his time—and then imagines the stirrings of a new form of social action . it is perhaps the first modern [ vague ] statement of the principle of nonviolent protest . a version was taken up by the author henry david thoreau in his essay civil disobedience , and later by gandhi in his  doctrine of satyagraha   . gandhi 's satyagraha was partially influenced and inspired by shelley 's nonviolence in protest and political action . in particular , it is known that gandhi would often quote shelley 's masque of anarchy to vast audiences during the campaign for a free india .	what was ghandi 's work called ?	what is the nonviolent protest movement's doctrine?	1.0	1.0	1.0	0.3333333333333333
harvard 's faculty includes scholars such as biologist e. o. wilson , cognitive scientist steven pinker , physicists lisa randall and roy glauber , chemists elias corey , dudley r. herschbach and george m. whitesides , computer scientists michael o. rabin and leslie valiant , shakespeare scholar  stephen greenblatt   , writer louis menand , critic helen vendler , historians henry louis gates , jr. and niall ferguson , economists amartya sen , n. gregory mankiw , robert barro , stephen a. marglin , don m. wilson iii and martin feldstein , political philosophers harvey mansfield , baroness shirley williams and michael sandel , fields medalist mathematician shing-tung yau , political scientists robert putnam , joseph nye , and stanley hoffmann , scholar/composers robert levin and bernard rands , astrophysicist alyssa a. goodman , and legal scholars alan dershowitz and lawrence lessig .	what shakespeare scholar is a faculty member at harvard ?	which harvard faculty member is a shakespeare scholar?	1.0	1.0	1.0	1.0
the concept  environmental determinism   served as a moral justification for domination of certain territories and peoples . it was believed that a certain person 's behaviours were determined by the environment in which they lived and thus validated their domination . for example , people living in tropical environments were seen as " less civilized " therefore justifying colonial control as a civilizing mission . across the three waves of european colonialism ( first in the americas , second in asia and lastly in africa ) ,  environmental determinism   was used to categorically place indigenous people in a racial hierarchy . this takes two forms , orientalism and tropicality .	what served as a justification for imposing imperialistic policies on certain peoples or regions ?	what concept served as a moral justification for domination of certain territories and peoples	1.0	1.0	1.0	0.8333333333333334
in 2004 , abc 's average viewership declined by ten ratings points , landing the network in fourth place , behind nbc , cbs and fox ( by the following year , the combined season-ending average audience share of abc , nbc and cbs represented only 32 % of u.s. households ) . however , during the 2004–05 season , the network experienced unexpected success with new series such as desperate housewives , lost and grey 's anatomy as well as reality series dancing with the stars , which helped abc rise to second place , jumping ahead of cbs , but behind a surging fox . on april 21 , 2004 , disney announced a restructuring of its disney media networks division with anne sweeney being named president of abc parent disney–abc television group , and espn president george bodenheimer becoming co-ceo of the division with sweeney , as well as president of abc sports . on december 7 , 2005 , abc sports and espn signed an eight-year broadcast rights agreement with  nascar   , allowing abc and espn to broadcast 17 nextel cup races each season ( comprising just over half of the 36 races held annually ) effective with the 2006 season .	who did espn and abc sign an eight year deal with in 2005 ?	what series introduced a new predator in 2006?	1.0	0.3333333333333333	0.3333333333333333	0.16666666666666666
the first british empire was based on  mercantilism   , and involved colonies and holdings primarily in north america , the caribbean , and india . its growth was reversed by the loss of the american colonies in 1776. britain made compensating gains in india , australia , and in constructing an informal economic empire through control of trade and finance in latin america after the independence of spanish and portuguese colonies about 1820. by the 1840s , britain had adopted a highly successful policy of free trade that gave it dominance in the trade of much of the world . after losing its first empire to the americans , britain then turned its attention towards asia , africa , and the pacific . following the defeat of napoleonic france in 1815 , britain enjoyed a century of almost unchallenged dominance and expanded its imperial holdings around the globe . increasing degrees of internal autonomy were granted to its white settler colonies in the 20th century .	what was the first british empire based on ?	what was the first british empire based on?	1.0	1.0	1.0	1.0
walt disney and his brother roy contacted goldenson at the end of 1953 for abc to agree to finance part of the disneyland project in exchange for producing a television program for the network . walt wanted abc to invest  $ 500,000   and accrued a guarantee of $ 4.5 million in additional loans , a third of the budget intended for the park . around 1954 , abc agreed to finance disneyland in exchange for the right to broadcast a new sunday night program , disneyland , which debuted on the network on october 27 , 1954 as the first of many anthology television programs that disney would broadcast over the course of the next 50 years .	how much did walt disney want abc to invest in disneyland ?	how much did walt disney want abc to invest in the disneyland	0.6666666666666666	1.0	1.0	1.0
the development of fundamental theories for forces proceeded along the lines of unification of disparate ideas . for example , isaac newton unified the force responsible for objects falling at the surface of the earth with the force responsible for the orbits of celestial mechanics in his universal theory of gravitation . michael faraday and james clerk maxwell demonstrated that electric and magnetic forces were unified through one consistent theory of electromagnetism . in the  20th   century , the development of quantum mechanics led to a modern understanding that the first three fundamental forces ( all except gravity ) are manifestations of matter ( fermions ) interacting by exchanging virtual particles called gauge bosons . this standard model of particle physics posits a similarity between the forces and led scientists to predict the unification of the weak and electromagnetic forces in electroweak theory subsequently confirmed by observation . the complete formulation of the standard model predicts an as yet unobserved higgs mechanism , but observations such as neutrino oscillations indicate that the standard model is incomplete . a grand unified theory allowing for the combination of the electroweak interaction with the strong force is held out as a possibility with candidate theories such as supersymmetry proposed to accommodate some of the outstanding unsolved problems in physics . physicists are still attempting to develop self-consistent unification models that would combine all four fundamental interactions into a theory of everything . einstein tried and failed at this endeavor , but currently the most popular approach to answering this question is string theory . :212–219	in what century was quantum mechanics made ?	quantum mechanics came into being during what century?	1.0	1.0	1.0	1.0
the unproven riemann hypothesis , dating from  1859   , states that except for s = −2 , −4 , ... , all zeroes of the ζ-function have real part equal to 1/2 . the connection to prime numbers is that it essentially says that the primes are as regularly distributed as possible . [ clarification needed ] from a physical viewpoint , it roughly states that the irregularity in the distribution of primes only comes from random noise . from a mathematical viewpoint , it roughly states that the asymptotic distribution of primes ( about x/log x of numbers less than x are primes , the prime number theorem ) also holds for much shorter intervals of length about the square root of x ( for intervals near x ) . this hypothesis is generally believed to be correct . in particular , the simplest assumption is that primes should have no significant irregularities without good reason .	when was the riemann hypothesis proposed ?	when was the riemann hypothesis discovered?	1.0	1.0	1.0	1.0
a controversial aspect of imperialism is the defense and justification of empire-building based on seemingly rational grounds . j. a. hobson identifies this justification on general grounds as : " it is desirable that the earth should be peopled , governed , and developed , as far as possible , by the races which can do this work best , i.e . by the races of highest 'social efficiency ' " . many others argued that imperialism is justified for several different reasons . friedrich ratzel believed that in order for a state to survive , imperialism was needed . halford mackinder felt that great britain needed to be one of the greatest imperialists and therefore justified imperialism . the purportedly scientific nature of " social darwinism " and a theory of races formed a supposedly rational justification for imperialism . the rhetoric of colonizers being racially superior appears to have achieved its purpose , for example throughout latin america "  whiteness   " is still prized today and various forms of blanqueamiento ( whitening ) are common .	in latin america what is the most revered skin color ?	what does john locke argue imperialism promotes?	1.0	0.6666666666666666	0.3333333333333333	0.0
as a member of the scottish parliamentary corporate body , the presiding officer is responsible for ensuring that the parliament functions effectively and has the staff , property and resources it requires to operate . convening the parliamentary bureau , which allocates time and sets the work agenda in the chamber , is another of the roles of the presiding officer . under the standing orders of the parliament the bureau consists of the presiding officer and one representative from each political parties with  five   or more seats in the parliament . amongst the duties of the bureau are to agree the timetable of business in the chamber , establish the number , remit and membership of parliamentary committees and regulate the passage of legislation ( bills ) through the parliament . the presiding officer also represents the scottish parliament at home and abroad in an official capacity .	how many seats must a political party have to be represented on the parliamentary bureau ?	a parliamentary bureau consists of one representative from each political party with how many seats	0.8333333333333334	1.0	1.0	0.8333333333333334
the party , or parties , that hold the majority of seats in the parliament forms the scottish government . in contrast to many other parliamentary systems , parliament elects a  first minister   from a number of candidates at the beginning of each parliamentary term ( after a general election ) . any member can put their name forward to be  first minister   , and a vote is taken by all members of parliament . normally , the leader of the largest party is returned as  first minister   , and head of the scottish government . theoretically , parliament also elects the scottish ministers who form the government of scotland and sit in the scottish cabinet , but such ministers are , in practice , appointed to their roles by the  first minister   . junior ministers , who do not attend cabinet , are also appointed to assist scottish ministers in their departments . most ministers and their juniors are drawn from amongst the elected msps , with the exception of scotland 's chief law officers : the lord advocate and the solicitor general . whilst the  first minister   chooses the ministers – and may decide to remove them at any time – the formal appointment or dismissal is made by the sovereign .	who is elected at the beginning of each term ?	who does parliament elect from a number of candidates at the beginning of each parliamentary term	1.0	1.0	1.0	0.3333333333333333
the rhine is the longest river in germany . it is here that the rhine encounters some more of its main tributaries , such as the neckar , the main and , later , the moselle , which contributes an average discharge of more than  300 m3/s ( 11,000 cu ft/s )   . northeastern france drains to the rhine via the moselle ; smaller rivers drain the vosges and jura mountains uplands . most of luxembourg and a very small part of belgium also drain to the rhine via the moselle . as it approaches the dutch border , the rhine has an annual mean discharge of 2,290 m3/s ( 81,000 cu ft/s ) and an average width of 400 m ( 1,300 ft ) .	what is the average discharge of the moselle to the rhine ?	what is the average discharge of the moselle?	1.0	1.0	1.0	0.6666666666666666
while studying law and philosophy in england and germany , iqbal became a member of the london branch of  the all india muslim league   . he came back to lahore in 1908. while dividing his time between law practice and philosophical poetry , iqbal had remained active in the muslim league . he did not support indian involvement in world war i and remained in close touch with muslim political leaders such as muhammad ali johar and muhammad ali jinnah . he was a critic of the mainstream indian nationalist and secularist indian national congress . iqbal 's seven english lectures were published by oxford university press in 1934 in a book titled the reconstruction of religious thought in islam . these lectures dwell on the role of islam as a religion as well as a political and legal philosophy in the modern age .	what organization did iqbal join in london ?	after moving to london, what organization did iqbal join?	1.0	1.0	1.0	0.5
elders are called by god , affirmed by the church , and ordained by a bishop to a ministry of word , sacrament , order and service within the church . they may be appointed to  the local church   , or to other valid extension ministries of the church . elders are given the authority to preach the word of god , administer the sacraments of the church , to provide care and counseling , and to order the life of the church for ministry and mission . elders may also be assigned as district superintendents , and they are eligible for election to the episcopacy . elders serve a term of 2–3 years as provisional elders prior to their ordination .	who appoints elders ?	where can elders be appointed?	1.0	1.0	1.0	0.0
wealth concentration is a theoretical [ according to whom ? ] process by which , under certain conditions , newly created wealth concentrates in the possession of already-wealthy individuals or entities . according to this theory , those who already hold wealth have the means to invest in new sources of creating wealth or to otherwise leverage the accumulation of wealth , thus are the beneficiaries of the new wealth . over time , wealth condensation can significantly contribute to the persistence of inequality within society . thomas piketty in his book capital in the twenty-first century argues that the fundamental force for divergence is the usually greater return of capital ( r ) than economic growth ( g ) , and that larger fortunes generate  higher returns   [ pp . 384 table 12.2 , u.s. university endowment size vs. real annual rate of return ]	what do larger fortunes generate ?	what does piketty claim will happen to investors when wealth concentration occurs?	1.0	1.0	1.0	0.3333333333333333
are prime . prime numbers of this form are known as factorial primes . other primes where either p + 1 or p − 1 is of a particular shape include the sophie germain primes ( primes of the form  2p + 1   with p prime ) , primorial primes , fermat primes and mersenne primes , that is , prime numbers that are of the form 2p − 1 , where p is an arbitrary prime . the lucas–lehmer test is particularly fast for numbers of this form . this is why the largest known prime has almost always been a mersenne prime since the dawn of electronic computers .	of what form are sophie germain primes ?	what form are lucas primes?	1.0	0.6666666666666666	0.3333333333333333	0.16666666666666666
in land plants , chloroplasts are generally lens-shaped ,  5–8 μm in diameter   and 1–3 μm thick . greater diversity in chloroplast shapes exists among the algae , which often contain a single chloroplast that can be shaped like a net ( e.g. , oedogonium ) , a cup ( e.g. , chlamydomonas ) , a ribbon-like spiral around the edges of the cell ( e.g. , spirogyra ) , or slightly twisted bands at the cell edges ( e.g. , sirogonium ) . some algae have two chloroplasts in each cell ; they are star-shaped in zygnema , or may follow the shape of half the cell in order desmidiales . in some algae , the chloroplast takes up most of the cell , with pockets for the nucleus and other organelles ( for example some species of chlorella have a cup-shaped chloroplast that occupies much of the cell ) .	how large across are chloroplasts in land plants ?	how small are chloroplasts in land plants?	1.0	1.0	1.0	0.6666666666666666
imperialism is a type of advocacy of empire . its name originated from the  latin   word " imperium " , which means to rule over large territories . imperialism is " a policy of extending a country 's power and influence through colonization , use of military force , or other means " . imperialism has greatly shaped the contemporary world . it has also allowed for the rapid spread of technologies and ideas . the term imperialism has been applied to western ( and japanese ) political and economic dominance especially in asia and africa in the 19th and 20th centuries . its precise meaning continues to be debated by scholars . some writers , such as edward said , use the term more broadly to describe any system of domination and subordination organised with an imperial center and a periphery .	the word imperialism has it 's origins in which ancient language ?	what language does the term imperialism come from?	1.0	1.0	1.0	0.6666666666666666
reserved matters are subjects that are outside the legislative competence of the scotland parliament . the  scottish parliament   is unable to legislate on such issues that are reserved to , and dealt with at , westminster ( and where ministerial functions usually lie with uk government ministers ) . these include abortion , broadcasting policy , civil service , common markets for uk goods and services , constitution , electricity , coal , oil , gas , nuclear energy , defence and national security , drug policy , employment , foreign policy and relations with europe , most aspects of transport safety and regulation , national lottery , protection of borders , social security and stability of uk 's fiscal , economic and monetary system .	issues dealt with at westminster are not ones who is able to deal with ?	which parliamentary body is not able to legislate on matters that are reserved for west	0.6666666666666666	1.0	1.0	0.3333333333333333
the victoria and albert museum ( often abbreviated as the v & a ) , london , is the world 's largest museum of decorative arts and design , housing a permanent collection of over 4.5 million objects . it was founded in 1852 and  named after queen victoria and prince albert   . the v & a is located in the brompton district of the royal borough of kensington and chelsea , in an area that has become known as " albertopolis " because of its association with prince albert , the albert memorial and the major cultural institutions with which he was associated . these include the natural history museum , the science museum and the royal albert hall . the museum is a non-departmental public body sponsored by the department for culture , media and sport . like other national british museums , entrance to the museum has been free since 2001 .	who is the museum named for ?	what is the victoria and albert museum named after?	1.0	1.0	1.0	0.5
the vast majority of kenyans are christian ( 83 % ) , with 47.7 % regarding themselves as protestant and 23.5 % as roman catholic of the latin rite . the presbyterian church of east africa has  3 million followers   in kenya and the surrounding countries . there are smaller conservative reformed churches , the africa evangelical presbyterian church , the independent presbyterian church in kenya , and the reformed church of east africa . 621,200 of kenyans are orthodox christians . notably , kenya has the highest number of quakers in the world , with around 133,000 members . the only jewish synagogue in the country is located in the capital , nairobi .	how many followers does the presbyterian church of east africa have ?	how many members attend the presbyterian church of east africa?	1.0	1.0	1.0	1.0
following the conquest of dali in 1253 , the former ruling duan dynasty were appointed as governors-general , recognized as imperial officials by the yuan , ming , and qing-era governments , principally in the province of yunnan . succession for the yuan dynasty , however , was an intractable problem , later causing much strife and internal struggle . this emerged as early as the end of kublai 's reign . kublai originally named his eldest son , zhenjin , as the crown prince , but he died before kublai in 1285. thus , zhenjin 's third son , with the support of his mother kökejin and the minister bayan , succeeded the throne and ruled as temür khan , or emperor chengzong , from  1294 to 1307.   temür khan decided to maintain and continue much of the work begun by his grandfather . he also made peace with the western mongol khanates as well as neighboring countries such as vietnam , which recognized his nominal suzerainty and paid tributes for a few decades . however , the corruption in the yuan dynasty began during the reign of temür khan .	when did temur rule ?	what years did zhang emperor reign?	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.16666666666666666
the collection of textiles consists of more than 53,000 examples , mainly western european though all populated continents are represented , dating  from the 1st century ad to the present   , this is the largest such collection in the world . techniques represented include weaving , printing , quilting embroidery , lace , tapestry and carpets . these are classified by technique , countries of origin and date of production . the collections are well represented in these areas : early silks from the near east , lace , european tapestries and english medieval church embroidery .	what is the time period represented in the museum 's textiles collection ?	what is the date range of the textiles in the collection?	1.0	1.0	1.0	0.6666666666666666
alternatively , glucose monomers in the chloroplast can be linked together to make starch , which accumulates into the starch grains found in the chloroplast . under conditions such as high atmospheric co2 concentrations , these starch grains may grow very large ,  distorting the grana and thylakoids   . the starch granules displace the thylakoids , but leave them intact . waterlogged roots can also cause starch buildup in the chloroplasts , possibly due to less sucrose being exported out of the chloroplast ( or more accurately , the plant cell ) . this depletes a plant 's free phosphate supply , which indirectly stimulates chloroplast starch synthesis . while linked to low photosynthesis rates , the starch grains themselves may not necessarily interfere significantly with the efficiency of photosynthesis , and might simply be a side effect of another photosynthesis-depressing factor .	what happens when starch grains become overly large ?	what happens to the starch grains when they grow very large?	1.0	1.0	1.0	1.0
embedded in the thylakoid membranes are important protein complexes which carry out the light reactions of photosynthesis . photosystem ii and photosystem i contain light-harvesting complexes with chlorophyll and carotenoids that absorb  light energy   and use it to energize electrons . molecules in the thylakoid membrane use the energized electrons to pump hydrogen ions into the thylakoid space , decreasing the ph and turning it acidic . atp synthase is a large protein complex that harnesses the concentration gradient of the hydrogen ions in the thylakoid space to generate atp energy as the hydrogen ions flow back out into the stroma—much like a dam turbine .	what do carotenoids absorb ?	what do the complexes absorb and use to energize electrons?	1.0	1.0	1.0	0.5
the chloroplastidan chloroplasts , or green chloroplasts , are another large , highly diverse primary chloroplast lineage . their host organisms are commonly known as the green algae and land plants . they differ from glaucophyte and red algal chloroplasts in that they have lost their phycobilisomes , and contain chlorophyll b instead . most green chloroplasts are ( obviously ) green , though some are n't , like some forms of hæmatococcus pluvialis , due to  accessory pigments that override the chlorophylls ' green colors   . chloroplastidan chloroplasts have lost the peptidoglycan wall between their double membrane , and have replaced it with an intermembrane space . some plants seem to have kept the genes for the synthesis of the peptidoglycan layer , though they 've been repurposed for use in chloroplast division instead .	why are n't some forms of hæmatococcus pluvialis green ?	what are cyanoplasts?	1.0	0.3333333333333333	0.3333333333333333	0.0
child labour is common in kenya . most working children are active in agriculture . in 2006 , unicef estimated that up to 30 % of girls in the coastal areas of malindi , mombasa , kilifi , and diani were subject to prostitution . most of the prostitutes in kenya are aged 9–18 . the ministry of gender and child affairs employed 400 child protection officers in 2009. the causes of child labour include  poverty , the lack of access to education and weak government institutions   . kenya has ratified convention no . 81 on labour inspection in industries and convention no . 129 on labour inspection in agriculture .	what are some of the causes of child labor ?	what are the causes of child labour in kenya?	0.8333333333333334	1.0	1.0	0.6666666666666666
economist joseph stiglitz argues that rather than explaining concentrations of wealth and income , market forces should serve as a brake on such concentration , which may better be explained by the non-market force known as " rent-seeking " . while the market will bid up compensation for  rare and desired   skills to reward wealth creation , greater productivity , etc. , it will also prevent successful entrepreneurs from earning excess profits by fostering competition to cut prices , profits and large compensation . a better explainer of growing inequality , according to stiglitz , is the use of political power generated by wealth by certain groups to shape government policies financially beneficial to them . this process , known to economists as rent-seeking , brings income not from creation of wealth but from " grabbing a larger share of the wealth that would otherwise have been produced without their effort "	what type of skills does the market bid up compensation for ?	what kind of skills does the market bid up compensation for?	0.8333333333333334	1.0	1.0	1.0
after each election to the scottish parliament , at the beginning of each parliamentary session , parliament elects one msp to serve as presiding officer , the equivalent of the speaker ( currently  tricia marwick   ) , and two msps to serve as deputies ( currently elaine smith and john scott ) . the presiding officer and deputies are elected by a secret ballot of the 129 msps , which is the only secret ballot conducted in the scottish parliament . principally , the role of the presiding officer is to chair chamber proceedings and the scottish parliamentary corporate body . when chairing meetings of the parliament , the presiding officer and his/her deputies must be politically impartial . during debates , the presiding officer ( or the deputy ) is assisted by the parliamentary clerks , who give advice on how to interpret the standing orders that govern the proceedings of meetings . a vote clerk sits in front of the presiding officer and operates the electronic voting equipment and chamber clocks .	who is currently speaker of the scottish parliament ?	who is the speaker of the scottish parliament?	1.0	1.0	1.0	0.8333333333333334
the programme 's first serial , an unearthly child , shows that the doctor has a granddaughter ,  susan foreman   . in the 1967 serial , tomb of the cybermen , when victoria waterfield doubts the doctor can remember his family because of , " being so ancient " , the doctor says that he can when he really wants to— " the rest of the time they sleep in my mind " . the 2005 series reveals that the ninth doctor thought he was the last surviving time lord , and that his home planet had been destroyed ; in " the empty child " ( 2005 ) , dr. constantine states that , " before the war even began , i was a father and a grandfather . now i am neither . " the doctor remarks in response , " yeah , i know the feeling . " in " smith and jones " ( 2007 ) , when asked if he had a brother , he replied , " no , not any more . " in both " fear her " ( 2006 ) and " the doctor 's daughter " ( 2008 ) , he states that he had , in the past , been a father .	what is the name of doctor who granddaughter ?	who is the doctor's granddaughter?	1.0	1.0	1.0	0.8333333333333334
on september 3 , 1958 , the disneyland anthology series was retitled walt disney presents as it became disassociated with the theme park of the same name . the movement in westerns , which abc is credited for having started , represented a fifth of all primetime series on american television in january 1959 , at which point detective shows were beginning to rise in popularity as well . abc requested additional productions from disney . in late 1958 , desilu productions pitched its detective series the untouchables to cbs ; after that network rejected the show because of  its use of violence   , desilu then presented it to abc , which agreed to pick up the show , and debuted the untouchables in april 1959. the series went on to quickly become " immensely popular " .	why did cbs turn down the pitch for the untouchables ?	what was the controversy surrounding the show's use of violence?	1.0	1.0	1.0	0.6666666666666666
kublai khan promoted  commercial , scientific , and cultural   growth . he supported the merchants of the silk road trade network by protecting the mongol postal system , constructing infrastructure , providing loans that financed trade caravans , and encouraging the circulation of paper banknotes ( 鈔 , chao ) . pax mongolica , mongol peace , enabled the spread of technologies , commodities , and culture between china and the west . kublai expanded the grand canal from southern china to daidu in the north . mongol rule was cosmopolitan under kublai khan . he welcomed foreign visitors to his court , such as the venetian merchant marco polo , who wrote the most influential european account of yuan china . marco polo 's travels would later inspire many others like christopher columbus to chart a passage to the far east in search of its legendary wealth .	what kinds of growth did kublai encourage ?	what types of growth did kublai khan promote?	1.0	1.0	1.0	1.0
the official opening by queen victoria was on 22 june 1857. in the following year , late night openings were introduced , made possible by the use of gas lighting . this was to enable in the words of cole " to ascertain practically what hours are most convenient to the working classes " —this was linked to the use of the collections of both applied art and science as educational resources to help boost productive industry . in these early years the practical use of the collection was very much emphasised as opposed to that of " high art " at the national gallery and scholarship at the british museum . george wallis ( 1811–1891 ) , the first keeper of fine art collection , passionately promoted the idea of wide art education through the museum collections . this led to the transfer to the museum of the school of design that had been founded in 1837 at somerset house ; after the transfer it was referred to as the art school or art training school , later to become the royal college of art which finally achieved full independence in  1949.   from the 1860s to the 1880s the scientific collections had been moved from the main museum site to various improvised galleries to the west of exhibition road . in 1893 the " science museum " had effectively come into existence when a separate director was appointed .	in which year did the royal college of art gained full independence from the v & a ?	when was the royal institute's library closed?	1.0	1.0	0.6666666666666666	0.0
chloroplasts have their own dna , often abbreviated as ctdna , or cpdna . it is also known as  the plastome   . its existence was first proved in 1962 , and first sequenced in 1986—when two japanese research teams sequenced the chloroplast dna of liverwort and tobacco . since then , hundreds of chloroplast dnas from various species have been sequenced , but they 're mostly those of land plants and green algae—glaucophytes , red algae , and other algal groups are extremely underrepresented , potentially introducing some bias in views of " typical " chloroplast dna structure and content .	what is a synonym for chloroplast dna ?	what is another name for the chloroplast dna?	1.0	1.0	1.0	1.0
